! {0 : 16 , } 
# {0 : 1 , } 
& {0 : 8 , } 
' {0 : 4 , } 
'' {0 : 72 , } 
's {0 : 2 , } 
( {0 : 108 , } 
) {0 : 108 , } 
, {0 : 56 , } 
- {0 : 21 , } 
-- {0 : 16 , } 
-\xa0514 {0 : 1 , } 
-\xa0Arts {0 : 1 , } 
-\xa0Fine {0 : 1 , } 
-\xa0info {0 : 1 , } 
. {0 : 7 , } 
.l=1*new {0 : 2 , } 
.push {0 : 2 , } 
.q=i {0 : 2 , } 
.q|| {0 : 2 , } 
// {0 : 8 , } 
//aarg.concordia.ca {0 : 1 , } 
//artmattersfestival.org {0 : 1 , } 
//asfa.ca {0 : 1 , } 
//ashrae.ecaconcordia.ca/ {0 : 1 , } 
//blog.animateconcordia.ca {0 : 1 , } 
//bsaconcordia.ca {0 : 1 , } 
//caseconcordia.ca {0 : 1 , } 
//casi.ecaconcordia.ca {0 : 1 , } 
//cast.concordia.ca {0 : 1 , } 
//ccsaonline.wordpress.com/ {0 : 1 , } 
//cessa.music.concordia.ca {0 : 1 , } 
//csaconcordia.com {0 : 1 , } 
//csce.ecaconcordia.ca {0 : 1 , } 
//csu.qc.ca/modules/book/book.css {0 : 1 , } 
//csu.qc.ca/modules/comment/comment.css {0 : 1 , } 
//csu.qc.ca/modules/field/theme/field.css {0 : 1 , } 
//csu.qc.ca/modules/locale/locale.css {0 : 1 , } 
//csu.qc.ca/modules/node/node.css {0 : 1 , } 
//csu.qc.ca/modules/poll/poll.css {0 : 1 , } 
//csu.qc.ca/modules/search/search.css {0 : 1 , } 
//csu.qc.ca/modules/system/system.base.css {0 : 1 , } 
//csu.qc.ca/modules/system/system.menus.css {0 : 1 , } 
//csu.qc.ca/modules/system/system.messages.css {0 : 1 , } 
//csu.qc.ca/modules/system/system.theme.css {0 : 1 , } 
//csu.qc.ca/modules/user/user.css {0 : 1 , } 
//csu.qc.ca/sites/all/libraries/nivo-slider/nivo-slider.css {0 : 1 , } 
//csu.qc.ca/sites/all/libraries/nivo-slider/themes/default/default.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/calendar/css/calendar_multiday.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/ckeditor/css/ckeditor.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/ctools/css/ctools.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/date/date_api/date.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/date/date_popup/themes/datepicker.1.7.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/facebook_pull/facebook_pull.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/ldap/ldap_servers/ldap_servers.admin.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/ldap/ldap_user/ldap_user.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/mobile_navigation/mobile_navigation.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/panels/css/panels.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/views/css/views.css {0 : 1 , } 
//csu.qc.ca/sites/all/modules/workflow/workflow_admin_ui/workflow_admin_ui.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/bootstrap-responsive.min.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/bootstrap.min.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/colors/custom.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/flexslider.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/font-awesome.min.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/style-responsive.css {0 : 1 , } 
//csu.qc.ca/sites/all/themes/specialone/css/style.css {0 : 1 , } 
//csu.qc.ca/sites/default/files/css_injector/css_injector_11.css {0 : 1 , } 
//csu.qc.ca/sites/default/files/css_injector/css_injector_13.css {0 : 1 , } 
//csu.qc.ca/sites/default/files/css_injector/css_injector_2.css {0 : 1 , } 
//csu.qc.ca/sites/default/files/css_injector/css_injector_3.css {0 : 1 , } 
//csu.qc.ca/sites/default/files/css_injector/css_injector_5.css {0 : 1 , } 
//cubes.ecaconcordia.ca {0 : 1 , } 
//dance.concordia.ca/en/current-students/dance-student-association/ {0 : 1 , } 
//ecaconcordia.ca/ {0 : 1 , } 
//enggames.ecaconcordia.ca {0 : 1 , } 
//facebook.com/upaconcordiauniversity {0 : 1 , } 
//fibres.weebly.com {0 : 1 , } 
//gallery-x.com/ {0 : 1 , } 
//gsaconcordia.ca/ {0 : 1 , } 
//https {0 : 3 , } 
//ieee.concordia.ca {0 : 1 , } 
//iie.ecaconcordia.ca {0 : 1 , } 
//interfoldmagazine.com {0 : 1 , } 
//jmacjmsb.ca {0 : 1 , } 
//jmcconline.ca {0 : 1 , } 
//jsg-jmsb.ca {0 : 1 , } 
//liberalartssociety.com {0 : 1 , } 
//linguistics.concordia.ca/lsa/ {0 : 1 , } 
//nsbe.ecaconcordia.ca/ {0 : 1 , } 
//scs.ecaconcordia.ca {0 : 1 , } 
//shaconline.wordpress.com/ {0 : 1 , } 
//socianth.concordia.ca/undergraduate/associations/ {0 : 1 , } 
//spaconcordianews.blogspot.ca/ {0 : 1 , } 
//steemilieskillshare.org/ {0 : 1 , } 
//thevoidmontreal.tumblr.com/ {0 : 1 , } 
//vavgallery.concordia.ca {0 : 1 , } 
//wie.ecaconcordia.ca {0 : 1 , } 
//www.asfa.ca {0 : 1 , } 
//www.casacares.com {0 : 1 , } 
//www.casajmsb.ca {0 : 1 , } 
//www.cisa-concordia.com {0 : 1 , } 
//www.concordiasae.ca {0 : 1 , } 
//www.cujah.org {0 : 1 , } 
//www.cupaconcordia.wordpress.com {0 : 1 , } 
//www.dssajmsb.ca {0 : 1 , } 
//www.ecaconcordia.ca {0 : 1 , } 
//www.enactusconcordia.com {0 : 1 , } 
//www.facebook.com/ComputationArts {0 : 1 , } 
//www.facebook.com/groups/WSSAConcordia/ {0 : 1 , } 
//www.facebook.com/groups/ceceea/ {0 : 1 , } 
//www.facebook.com/groups/essconcordia/ {0 : 1 , } 
//www.fasaconcordia.com {0 : 1 , } 
//www.fisaonline.ca {0 : 1 , } 
//www.google-analytics.com/analytics.js {0 : 2 , } 
//www.imcadepot.com/academy-of-art-video-art.html {0 : 1 , } 
//www.jmas.ca {0 : 1 , } 
//www.jmhra.com {0 : 1 , } 
//www.jmiba.ca {0 : 1 , } 
//www.jmma.ca {0 : 1 , } 
//www.jmsm.ca {0 : 1 , } 
//www.jmucc.ca {0 : 1 , } 
//www.massaconcordia.com {0 : 1 , } 
//www.spaceconcordia.ca {0 : 1 , } 
0 {0 : 2 , } 
025\xa0 {0 : 1 , } 
037\xa0 {0 : 1 , } 
1.117\xa0 {0 : 1 , } 
1410 {0 : 1 , } 
1450 {0 : 1 , } 
175.13\xa0 {0 : 1 , } 
1M8 {0 : 1 , } 
1M8\xa0 {0 : 1 , } 
1R6 {0 : 1 , } 
2016\xa0|\xa0All {0 : 1 , } 
202 {0 : 1 , } 
203 {0 : 1 , } 
2030 {0 : 1 , } 
203\xa0 {0 : 1 , } 
211 {0 : 5 , } 
211\xa0 {0 : 5 , } 
2150 {0 : 1 , } 
229\xa0 {0 : 1 , } 
2424 {0 : 1 , } 
2800\xa0\xa0 {0 : 1 , } 
3140\xa0 {0 : 1 , } 
375.21\xa0 {0 : 1 , } 
4-105\xa0 {0 : 1 , } 
4.105\xa0 {0 : 2 , } 
4.105\xa0\xa0 {0 : 1 , } 
4.118\xa0 {0 : 1 , } 
4.433 {0 : 1 , } 
4.433\xa0 {0 : 1 , } 
4.435\xa0 {0 : 1 , } 
4.440\xa0 {0 : 1 , } 
4.445\xa0 {0 : 2 , } 
400\xa0 {0 : 7 , } 
4678\xa0 {0 : 1 , } 
500\xa0 {0 : 2 , } 
510\xa0 {0 : 1 , } 
514 {0 : 2 , } 
656\xa0 {0 : 1 , } 
7446\xa0 {0 : 1 , } 
7464\xa0\xa0 {0 : 1 , } 
7958\xa0 {0 : 1 , } 
838\xa0 {0 : 4 , } 
848 {0 : 1 , } 
848-2424 {0 : 1 , } 
848-7450 {0 : 1 , } 
848-7474 {0 : 1 , } 
: {0 : 369 , } 
; {0 : 56 , } 
< {0 : 18 , } 
=i {0 : 2 , } 
=r {0 : 2 , } 
> {0 : 21 , } 
? {0 : 38 , } 
@ {0 : 111 , } 
AAVA {0 : 1 , } 
ABACUS {0 : 1 , } 
AHSC {0 : 1 , } 
ASFA {0 : 3 , } 
ASHRAE {0 : 1 , } 
Aboriginal {0 : 1 , } 
About {0 : 1 , } 
Academic {0 : 1 , } 
Academy {0 : 1 , } 
Accounting {0 : 1 , } 
Action {0 : 1 , } 
Active {0 : 1 , } 
Address {0 : 80 , } 
Administration {0 : 2 , } 
Advocacy {0 : 1 , } 
Aeronautics {0 : 1 , } 
Affairs {0 : 1 , } 
Alliance {0 : 1 , } 
Alliance\xa0 {0 : 1 , } 
And {0 : 1 , } 
Animate {0 : 1 , } 
Annex {0 : 1 , } 
Anthropology {0 : 1 , } 
Anti-Consumerism {0 : 1 , } 
Applied {0 : 1 , } 
Apply {0 : 2 , } 
Art {0 : 5 , } 
Arts {0 : 5 , } 
Association {0 : 33 , } 
Association\xa0 {0 : 3 , } 
Associations {0 : 5 , } 
